"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 08 01:56:59 IST 2022","Sat Oct 08 01:57:00 IST 2022","933","","Other UI Field Checks","","Other UI Field Checks","Handling Sorting Table","Handling Sorting Table",""
"passed","Sat Oct 08 01:56:58 IST 2022","Sat Oct 08 01:56:59 IST 2022","1165","","Other UI Field Checks","","Other UI Field Checks","Handling Alert Popups","Handling Alert Popups",""
"passed","Sat Oct 08 01:56:51 IST 2022","Sat Oct 08 01:56:59 IST 2022","8296","","Login Functionality Checks","","Login Functionality Checks","Check login functionality for invalid creds","Check login functionality for invalid creds",""
"passed","Sat Oct 08 01:56:55 IST 2022","Sat Oct 08 01:56:58 IST 2022","2787","","Handling Switching Windows","","Handling Switching Windows","Switching to Frames","Switching to Frames",""
"passed","Sat Oct 08 01:57:00 IST 2022","Sat Oct 08 01:57:01 IST 2022","529","","Other UI Field Checks","","Other UI Field Checks","Table Value Search","Table Value Search",""
"passed","Sat Oct 08 01:56:51 IST 2022","Sat Oct 08 01:56:53 IST 2022","2379","","All Login Fields Check","","All Login Fields Check","Check text input fields visibility","Check text input fields visibility",""
"passed","Sat Oct 08 01:56:56 IST 2022","Sat Oct 08 01:56:57 IST 2022","1114","","All Login Fields Check","","All Login Fields Check","Handling dropdowns in Login page, tag:Smoke","Handling dropdowns in Login page, tag:Smoke",""
"passed","Sat Oct 08 01:56:54 IST 2022","Sat Oct 08 01:56:55 IST 2022","1362","","Handling Switching Windows","","Handling Switching Windows","Switching back to parent after new tab by automation","Switching back to parent after new tab by automation",""
"passed","Sat Oct 08 01:56:59 IST 2022","Sat Oct 08 01:57:02 IST 2022","3453","","Login Functionality Checks","","Login Functionality Checks","Check login functionality for valid creds","Check login functionality for valid creds",""
"passed","Sat Oct 08 01:56:51 IST 2022","Sat Oct 08 01:56:52 IST 2022","1397","","Handling Switching Windows","","Handling Switching Windows","Switch between windows","Switch between windows",""
"passed","Sat Oct 08 01:56:55 IST 2022","Sat Oct 08 01:56:56 IST 2022","967","","All Login Fields Check","","All Login Fields Check","Handling popups in Login page, tag:Smoke","Handling popups in Login page, tag:Smoke",""
"passed","Sat Oct 08 01:56:56 IST 2022","Sat Oct 08 01:56:58 IST 2022","2316","","Other UI Field Checks","","Other UI Field Checks","Handling Checkboxes","Handling Checkboxes",""
"passed","Sat Oct 08 01:56:51 IST 2022","Sat Oct 08 01:56:56 IST 2022","5171","","Other UI Field Checks","","Other UI Field Checks","Handling Dynamic Dropdowns","Handling Dynamic Dropdowns",""
"passed","Sat Oct 08 01:56:53 IST 2022","Sat Oct 08 01:56:55 IST 2022","2101","","All Login Fields Check","","All Login Fields Check","Check text input fields value entered","Check text input fields value entered",""
"passed","Sat Oct 08 01:56:52 IST 2022","Sat Oct 08 01:56:54 IST 2022","1746","","Handling Switching Windows","","Handling Switching Windows","Handling new window","Handling new window",""
